"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.185200528E0,1.083374023E-3,6.103515625E-5,1.358032227E-3,1.738296894E-3
1.189167813E0,3.204345703E-3,-2.075195312E-3,2.899169922E-4,3.828618397E-3
1.193135098E0,1.083374023E-3,6.103515625E-5,2.899169922E-4,1.123154676E-3
1.197132901E0,1.083374023E-3,-1.007080078E-3,1.358032227E-3,2.008024175E-3
1.201100186E0,1.525878906E-5,-1.007080078E-3,2.899169922E-4,1.048091111E-3
1.205067471E0,-1.052856445E-3,-1.007080078E-3,2.899169922E-4,1.485519721E-3
1.209034756E0,1.525878906E-5,-1.007080078E-3,1.358032227E-3,1.690767472E-3
1.213002042E0,-1.052856445E-3,-1.007080078E-3,2.899169922E-4,1.485519721E-3
1.216969327E0,1.083374023E-3,6.103515625E-5,1.358032227E-3,1.738296894E-3
1.220936612E0,1.525878906E-5,6.103515625E-5,2.899169922E-4,2.966647659E-4
1.224934415E0,1.525878906E-5,-1.007080078E-3,2.899169922E-4,1.048091111E-3
1.228901700E0,1.083374023E-3,-2.075195312E-3,2.899169922E-4,2.358852840E-3
1.232868985E0,1.525878906E-5,-1.007080078E-3,-1.831054688E-3,2.089785727E-3
1.236836270E0,-2.120971680E-3,6.103515625E-5,-7.781982422E-4,2.260052800E-3
